id,title,description,skills,location,duration,organization
228,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Gurgaon,6 months,FinLabs
229,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Mumbai,5 weeks,DesignStudios
230,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Delhi,5 weeks,WebSolutions
231,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Chennai,5 weeks,MarketCo
232,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Hyderabad,6 months,DesignStudios
233,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Hyderabad,2 months,FinLabs
234,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Bhubaneswar,5 weeks,CodeCrafters
235,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Dehradun,2 months,WebSolutions
236,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Lucknow,2 months,DataWorks
237,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Noida,1 month,MobileWorks
238,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Dehradun,4 months,CodeCrafters
239,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Pune,4 months,MarketCo
240,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Lucknow,3 months,MarketCo
241,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Dehradun,1 month,Analytics Hub
242,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Noida,6 months,FinLabs
243,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Dehradun,3 months,MobileWorks
244,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Chennai,5 weeks,DesignStudios
245,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Dehradun,6 months,DesignStudios
246,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Delhi,4 months,Tech Startup
247,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Dehradun,4 months,CodeCrafters
248,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Hyderabad,2 months,MobileWorks
249,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Dehradun,3 months,WebSolutions
250,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Goa,4 months,WebSolutions
251,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Lucknow,3 months,FinLabs
252,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Jaipur,4 months,College Labs
253,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Jaipur,1 month,MobileWorks
254,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Gurgaon,1 month,WebSolutions
255,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Mumbai,6 months,Tech Startup
256,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Lucknow,5 weeks,CodeCrafters
257,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Jaipur,6 months,MarketCo
258,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Dehradun,6 months,Tech Startup
259,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Bhubaneswar,4 months,CodeCrafters
260,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Hyderabad,5 weeks,DesignStudios
261,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Noida,3 months,CodeCrafters
262,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bhubaneswar,5 weeks,College Labs
263,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Goa,5 weeks,MobileWorks
264,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Dehradun,2 months,Tech Startup
265,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Bhubaneswar,5 weeks,Analytics Hub
266,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Noida,2 months,College Labs
267,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Jaipur,3 months,WebSolutions
268,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Pune,6 months,Tech Startup
269,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Jaipur,1 month,CodeCrafters
270,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Kolkata,5 weeks,FinLabs
271,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Delhi,5 weeks,CodeCrafters
272,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Jaipur,1 month,MobileWorks
273,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Ahmedabad,1 month,Tech Startup
274,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Noida,6 months,FinLabs
275,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Bhubaneswar,6 months,Tech Startup
276,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Pune,3 months,WebSolutions
277,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Chennai,6 months,Tech Startup
278,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Hyderabad,2 months,CodeCrafters
279,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Kolkata,5 weeks,MobileWorks
280,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Bhubaneswar,5 weeks,DataWorks
281,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Noida,4 months,WebSolutions
282,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Chennai,4 months,Tech Startup
283,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Delhi,2 months,College Labs
284,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Ahmedabad,5 weeks,MobileWorks
285,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Jaipur,4 months,MobileWorks
286,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Goa,6 months,MarketCo
287,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Dehradun,3 months,Analytics Hub
288,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Ahmedabad,4 months,CodeCrafters
289,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Noida,3 months,College Labs
290,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Delhi,6 months,WebSolutions
291,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Bhubaneswar,4 months,CodeCrafters
292,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Pune,3 months,Analytics Hub
293,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Noida,2 months,College Labs
294,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Ahmedabad,2 months,Tech Startup
295,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Hyderabad,1 month,College Labs
296,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Gurgaon,3 months,CodeCrafters
297,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Noida,2 months,WebSolutions
298,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Goa,6 months,WebSolutions
299,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Mumbai,2 months,MarketCo
300,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Gurgaon,3 months,DesignStudios
301,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Gurgaon,1 month,College Labs
302,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Hyderabad,2 months,Analytics Hub
303,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Dehradun,3 months,CodeCrafters
304,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Goa,3 months,DataWorks
305,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Ahmedabad,2 months,DesignStudios
306,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Lucknow,1 month,College Labs
307,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Chennai,1 month,Analytics Hub
308,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Noida,6 months,CodeCrafters
309,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Dehradun,3 months,CodeCrafters
310,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Delhi,4 months,DesignStudios
311,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Ahmedabad,6 months,College Labs
312,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Lucknow,1 month,CodeCrafters
313,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Pune,3 months,DesignStudios
314,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Lucknow,3 months,CodeCrafters
315,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Ahmedabad,4 months,Tech Startup
316,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Noida,3 months,FinLabs
317,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Ahmedabad,2 months,MobileWorks
318,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Mumbai,3 months,Analytics Hub
319,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Mumbai,3 months,DesignStudios
320,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Kolkata,1 month,CodeCrafters
321,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Gurgaon,2 months,MobileWorks
322,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Hyderabad,2 months,MobileWorks
323,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Noida,3 months,Analytics Hub
324,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Bengaluru,3 months,Analytics Hub
325,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Dehradun,4 months,MarketCo
326,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Bhubaneswar,2 months,DesignStudios
327,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Chennai,1 month,WebSolutions
328,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Delhi,5 weeks,MarketCo
329,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Goa,1 month,CodeCrafters
330,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Hyderabad,1 month,DesignStudios
331,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Mumbai,1 month,Analytics Hub
332,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Lucknow,5 weeks,Tech Startup
333,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Ahmedabad,6 months,DataWorks
334,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bengaluru,4 months,DesignStudios
335,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Delhi,1 month,College Labs
336,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Ahmedabad,6 months,DataWorks
337,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Gurgaon,6 months,DataWorks
338,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bengaluru,3 months,Tech Startup
339,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Dehradun,2 months,MobileWorks
340,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Hyderabad,2 months,MobileWorks
341,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Pune,2 months,Analytics Hub
342,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bhubaneswar,5 weeks,MarketCo
343,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Lucknow,6 months,DataWorks
344,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Jaipur,2 months,WebSolutions
345,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Bhubaneswar,5 weeks,CodeCrafters
346,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Lucknow,1 month,College Labs
347,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Pune,1 month,MarketCo
348,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Goa,3 months,DataWorks
349,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Kolkata,4 months,Analytics Hub
350,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Bhubaneswar,3 months,College Labs
351,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Bengaluru,4 months,Analytics Hub
352,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Pune,6 months,CodeCrafters
353,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Ahmedabad,3 months,Tech Startup
354,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Pune,6 months,Analytics Hub
355,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Dehradun,5 weeks,DesignStudios
356,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Mumbai,4 months,FinLabs
357,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Delhi,5 weeks,DataWorks
358,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Kolkata,4 months,DesignStudios
359,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Noida,4 months,College Labs
360,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Delhi,2 months,FinLabs
361,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Lucknow,6 months,CodeCrafters
362,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Mumbai,3 months,MarketCo
363,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Chennai,5 weeks,CodeCrafters
364,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Pune,1 month,MobileWorks
365,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Kolkata,3 months,CodeCrafters
366,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Jaipur,6 months,MarketCo
367,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Goa,2 months,MarketCo
368,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Jaipur,6 months,CodeCrafters
369,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Lucknow,5 weeks,DesignStudios
370,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Pune,6 months,DesignStudios
371,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Noida,1 month,CodeCrafters
372,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Dehradun,2 months,College Labs
373,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Gurgaon,4 months,WebSolutions
374,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Chennai,1 month,College Labs
375,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Pune,5 weeks,MobileWorks
376,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Gurgaon,3 months,College Labs
377,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Jaipur,6 months,DataWorks
378,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Jaipur,1 month,MarketCo
379,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Ahmedabad,6 months,DataWorks
380,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Ahmedabad,3 months,CodeCrafters
381,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Ahmedabad,1 month,Tech Startup
382,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Bhubaneswar,4 months,FinLabs
383,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Goa,1 month,DesignStudios
384,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Bhubaneswar,6 months,MarketCo
385,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Pune,5 weeks,College Labs
386,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Lucknow,1 month,Tech Startup
387,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Jaipur,3 months,Analytics Hub
388,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Delhi,2 months,Analytics Hub
389,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Dehradun,4 months,MarketCo
390,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Kolkata,3 months,MobileWorks
391,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Mumbai,3 months,DataWorks
392,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Goa,6 months,DesignStudios
393,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Delhi,3 months,Analytics Hub
394,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Noida,1 month,Analytics Hub
395,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Kolkata,6 months,WebSolutions
396,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Delhi,3 months,DataWorks
397,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Bengaluru,5 weeks,WebSolutions
398,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Bhubaneswar,5 weeks,Tech Startup
399,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Bengaluru,4 months,FinLabs
400,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Delhi,3 months,CodeCrafters
401,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Lucknow,1 month,MobileWorks
402,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Mumbai,6 months,DataWorks
403,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bhubaneswar,1 month,FinLabs
404,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Hyderabad,4 months,DesignStudios
405,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Dehradun,4 months,FinLabs
406,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Chennai,4 months,MobileWorks
407,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Hyderabad,6 months,CodeCrafters
408,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Hyderabad,2 months,MobileWorks
409,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Pune,4 months,DataWorks
410,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Bhubaneswar,4 months,DataWorks
411,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Bengaluru,5 weeks,MarketCo
412,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Dehradun,2 months,CodeCrafters
413,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Ahmedabad,4 months,WebSolutions
414,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Chennai,4 months,DesignStudios
415,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Dehradun,4 months,WebSolutions
416,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Mumbai,5 weeks,DataWorks
417,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bhubaneswar,6 months,WebSolutions
418,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Kolkata,2 months,College Labs
419,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Gurgaon,6 months,DesignStudios
420,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Pune,1 month,Tech Startup
421,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Hyderabad,3 months,CodeCrafters
422,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Hyderabad,3 months,College Labs
423,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Jaipur,6 months,College Labs
424,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Ahmedabad,5 weeks,College Labs
425,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Lucknow,2 months,DataWorks
426,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Lucknow,4 months,FinLabs
427,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Delhi,2 months,MarketCo
428,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Mumbai,6 months,College Labs
429,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Mumbai,2 months,Tech Startup
430,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Bhubaneswar,1 month,CodeCrafters
431,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Jaipur,5 weeks,MarketCo
432,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Mumbai,4 months,DesignStudios
433,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Bhubaneswar,5 weeks,MarketCo
434,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Delhi,4 months,Analytics Hub
435,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Ahmedabad,4 months,WebSolutions
436,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Delhi,5 weeks,Analytics Hub
437,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Goa,2 months,MarketCo
438,Marketing Intern,Manage social media and content creation.,Communication;Marketing;Social Media,Hyderabad,1 month,CodeCrafters
439,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Delhi,6 months,Tech Startup
440,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Goa,1 month,Analytics Hub
441,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Hyderabad,4 months,College Labs
442,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Ahmedabad,1 month,DesignStudios
443,Data Analyst Intern,Perform data cleaning and visualization using Python and Excel.,Python;SQL;Excel,Noida,6 months,College Labs
444,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Delhi,2 months,FinLabs
445,Java Backend Intern,Develop REST APIs and services using Java Spring Boot.,Java;Spring;REST API,Ahmedabad,4 months,MarketCo
446,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Jaipur,1 month,Analytics Hub
447,BCA Project Intern,"Help with college project using PHP, MySQL.",PHP;MySQL;HTML;CSS,Dehradun,5 weeks,Tech Startup
448,Android Developer Intern,Build Android apps with Java/Kotlin.,Java;Kotlin;APIs,Bhubaneswar,1 month,Tech Startup
449,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Pune,1 month,DataWorks
450,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Dehradun,4 months,MobileWorks
451,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Pune,6 months,Analytics Hub
452,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Chennai,6 months,WebSolutions
453,UI/UX Design Intern,Design wireframes and prototypes using Figma and Adobe XD.,Figma;Adobe XD;Design,Goa,1 month,Analytics Hub
454,Frontend React Intern,Create responsive UI with React and TailwindCSS.,HTML;CSS;JavaScript;React,Goa,6 months,Analytics Hub
455,Web Development Intern,Front-end using React and backend Node.js.,HTML;CSS;JavaScript;React;Node,Hyderabad,5 weeks,CodeCrafters
456,Data Science Intern,Work on ML models and data analysis.,Python;SQL;Machine Learning,Delhi,5 weeks,CodeCrafters
457,Machine Learning Intern,Work on predictive analytics using Python and scikit-learn.,Python;Machine Learning;Statistics,Mumbai,6 months,FinLabs
